p1_fighter,p2_fighter,p1_KD,p2_KD,p1_SIG_STR_PCT,p2_SIG_STR_PCT,p1_TD_PCT,p2_TD_PCT,p1_SUB_ATT,p2_SUB_ATT,p1_REV,p2_REV,p1_CTRL,p2_CTRL,p1_R1_KD,p2_R1_KD,p1_R1_SIG_STR_PCT,p2_R1_SIG_STR_PCT,p1_R1_TD_PCT,p2_R1_TD_PCT,p1_R1_SUB_ATT,p2_R1_SUB_ATT,p1_R1_REV,p2_R1_REV,p1_R1_CTRL,p2_R1_CTRL,p1_SIG_STR_PCT_DETAILED,p2_SIG_STR_PCT_DETAILED,p1_R1_SIG_STR_PCT_DETAILED,p2_R1_SIG_STR_PCT_DETAILED,method,referee,winner,event_date,p1_SIG_STR_LANDED,p1_SIG_STR_ATTEMPTED,p2_SIG_STR_LANDED,p2_SIG_STR_ATTEMPTED,p1_TOTAL_STR_LANDED,p1_TOTAL_STR_ATTEMPTED,p2_TOTAL_STR_LANDED,p2_TOTAL_STR_ATTEMPTED,p1_TD_LANDED,p1_TD_ATTEMPTED,p2_TD_LANDED,p2_TD_ATTEMPTED,p1_R1_SIG_STR_LANDED,p1_R1_SIG_STR_ATTEMPTED,p2_R1_SIG_STR_LANDED,p2_R1_SIG_STR_ATTEMPTED,p1_R1_TOTAL_STR_LANDED,p1_R1_TOTAL_STR_ATTEMPTED,p2_R1_TOTAL_STR_LANDED,p2_R1_TOTAL_STR_ATTEMPTED,p1_R1_TD_LANDED,p1_R1_TD_ATTEMPTED,p2_R1_TD_LANDED,p2_R1_TD_ATTEMPTED,p1_HEAD_LANDED,p1_HEAD_ATTEMPTED,p2_HEAD_LANDED,p2_HEAD_ATTEMPTED,p1_BODY_LANDED,p1_BODY_ATTEMPTED,p2_BODY_LANDED,p2_BODY_ATTEMPTED,p1_LEG_LANDED,p1_LEG_ATTEMPTED,p2_LEG_LANDED,p2_LEG_ATTEMPTED,p1_DISTANCE_LANDED,p1_DISTANCE_ATTEMPTED,p2_DISTANCE_LANDED,p2_DISTANCE_ATTEMPTED,p1_CLINCH_LANDED,p1_CLINCH_ATTEMPTED,p2_CLINCH_LANDED,p2_CLINCH_ATTEMPTED,p1_GROUND_LANDED,p1_GROUND_ATTEMPTED,p2_GROUND_LANDED,p2_GROUND_ATTEMPTED,p1_R1_HEAD_LANDED,p1_R1_HEAD_ATTEMPTED,p2_R1_HEAD_LANDED,p2_R1_HEAD_ATTEMPTED,p1_R1_BODY_LANDED,p1_R1_BODY_ATTEMPTED,p2_R1_BODY_LANDED,p2_R1_BODY_ATTEMPTED,p1_R1_LEG_LANDED,p1_R1_LEG_ATTEMPTED,p2_R1_LEG_LANDED,p2_R1_LEG_ATTEMPTED,p1_R1_DISTANCE_LANDED,p1_R1_DISTANCE_ATTEMPTED,p2_R1_DISTANCE_LANDED,p2_R1_DISTANCE_ATTEMPTED,p1_R1_CLINCH_LANDED,p1_R1_CLINCH_ATTEMPTED,p2_R1_CLINCH_LANDED,p2_R1_CLINCH_ATTEMPTED,p1_R1_GROUND_LANDED,p1_R1_GROUND_ATTEMPTED,p2_R1_GROUND_LANDED,p2_R1_GROUND_ATTEMPTED,p1_height,p1_weight,p1_reach,p1_stance,p1_dob,p1_SLpM,p1_Str. Acc.,p1_SApM,p1_Str. Def,p1_TD Avg.,p1_TD Acc.,p1_TD Def.,p1_Sub. Avg.,p2_height,p2_weight,p2_reach,p2_stance,p2_dob,p2_SLpM,p2_Str. Acc.,p2_SApM,p2_Str. Def,p2_TD Avg.,p2_TD Acc.,p2_TD Def.,p2_Sub. Avg.
Mateusz Gamrot,Ludovit Klein,0,0,0.59,0.32,0.54,,0,0,0,0,525,23,0,0,0.52,0.14,0.57,,0,0,0,0,186,0,0.59,0.32,0.52,0.14,Decision - Unanimous,Herb Dean,1,2025-05-31,65,110,24,74,142,224,85,145,6,11,0,0,10,19,2,14,27,43,6,19,4,7,0,0,53,98,10,49,7,7,13,23,5,5,1,2,38,73,23,73,3,4,1,1,24,33,0,0,3,12,2,11,4,4,0,3,3,3,0,0,4,13,2,14,2,2,0,0,4,4,0,0,70.0,155.0,70.0,Southpaw,1990-12-11,3.23,0.5,3.22,0.58,5.25,0.35,0.9,0.1,67.0,155.0,72.0,Southpaw,1995-02-22,3.81,0.54,3.22,0.54,1.70,0.51,0.91,0.0
Billy Ray Goff,Ramiz Brahimaj,0,0,0.33,1.0,0.0,0.66,0,1,0,0,59,102,0,0,0.33,1.0,0.0,0.66,0,1,0,0,59,102,0.33,1.0,0.33,1.0,Submission,Chris Tognoni,0,2025-05-31,1,3,1,1,2,4,9,10,0,1,2,3,1,3,1,1,2,4,9,10,0,1,2,3,0,1,0,0,1,2,1,1,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,70.0,170.0,72.0,Switch,1998-06-18,8.56,0.46,5.71,0.59,2.01,0.17,1.0,0.0,70.0,170.0,72.0,Orthodox,1992-11-17,2.26,0.44,4.04,0.43,1.51,0.35,0.44,1.5
Dustin Jacoby,Bruno Lopes,1,0,0.58,0.33,,,0,0,0,0,30,0,1,0,0.58,0.33,,,0,0,0,0,30,0,0.58,0.33,0.58,0.33,KO/TKO,Mike Beltran,1,2025-05-31,17,29,3,9,17,30,5,12,0,0,0,0,17,29,3,9,17,30,5,12,0,0,0,0,16,28,1,4,0,0,1,2,1,1,1,3,11,21,2,7,6,8,1,2,0,0,0,0,16,28,1,4,0,0,1,2,1,1,1,3,11,21,2,7,6,8,1,2,0,0,0,0,75.0,205.0,76.0,Orthodox,1988-04-04,5.33,0.47,4.05,0.57,0.33,0.25,0.62,0.0,74.0,205.0,74.0,Orthodox,1993-04-24,2.89,0.43,3.00,0.6,2.68,0.33,1.0,0.0
Ketlen Vieira,Macy Chiasson,0,0,0.43,0.51,0.0,0.0,0,0,0,0,606,33,0,0,0.37,0.54,,,0,0,0,0,66,8,0.43,0.51,0.37,0.54,Decision - Unanimous,Mark Smith,1,2025-05-31,28,64,22,43,106,174,52,77,0,1,0,4,18,48,17,31,29,64,18,32,0,0,0,0,25,60,8,25,3,3,6,9,0,1,8,9,15,47,20,39,5,6,2,4,8,11,0,0,15,44,5,16,3,3,5,7,0,1,7,8,13,43,17,29,5,5,0,2,0,0,0,0,68.0,135.0,68.0,Orthodox,1991-08-26,2.92,0.41,3.90,0.51,1.39,0.44,0.88,0.6,71.0,135.0,72.0,Orthodox,1991-07-27,3.77,0.46,2.79,0.44,2.37,0.38,0.7,0.4
Zachary Reese,Dusko Todorovic,0,0,0.46,0.53,0.66,0.3,0,1,0,1,79,330,0,0,0.54,0.66,1.0,0.75,0,1,0,1,66,181,0.46,0.53,0.54,0.66,Decision - Unanimous,Herb Dean,1,2025-05-31,50,108,35,65,73,135,73,109,2,3,4,13,6,11,10,15,19,27,31,38,2,2,3,4,21,72,22,50,20,23,8,10,9,13,5,5,43,98,22,50,7,10,6,6,0,0,7,9,3,7,8,12,3,4,1,2,0,0,1,1,2,6,2,6,4,5,1,1,0,0,7,8,76.0,185.0,77.0,Switch,1994-03-24,4.94,0.58,3.45,0.42,3.50,0.55,0.33,2.1,73.0,185.0,74.0,Orthodox,1994-05-19,5.35,0.57,4.80,0.46,0.92,0.12,0.45,0.0
Jafel Filho,Allan Nascimento,0,0,0.46,0.5,0.57,0.16,1,1,0,2,380,423,0,0,0.55,0.44,0.5,0.0,1,0,0,0,247,4,0.46,0.5,0.55,0.44,Decision - Unanimous,Chris Tognoni,0,2025-05-31,14,30,12,24,40,63,30,58,4,7,1,6,11,20,4,9,22,37,7,12,2,4,0,3,7,20,3,12,7,9,4,4,0,1,5,8,6,20,9,19,6,8,1,1,2,2,2,4,6,12,0,3,5,7,1,1,0,1,3,5,4,11,4,9,5,7,0,0,2,2,0,0,67.0,125.0,68.0,Orthodox,1993-05-05,2.36,0.41,2.00,0.47,1.77,0.33,0.55,2.6,68.0,125.0,69.0,Orthodox,1991-09-11,3.21,0.61,2.28,0.5,1.55,0.26,0.16,0.9
Kurt Holobaugh,Jordan Leavitt,0,0,0.0,1.0,,0.75,0,1,0,0,0,87,0,0,0.0,1.0,,0.75,0,1,0,0,0,87,0.0,1.0,0.0,1.0,Submission,Mike Beltran,0,2025-05-31,0,1,1,1,7,9,2,3,0,0,3,4,0,1,1,1,7,9,2,3,0,0,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,71.0,155.0,70.0,Orthodox,1986-09-08,4.65,0.45,4.30,0.49,0.66,0.33,0.39,0.8,69.0,155.0,71.0,Southpaw,1995-06-02,2.55,0.61,1.84,0.57,2.19,0.25,0.3,1.1
Bolaji Oki,Michael Aswell,0,0,0.44,0.38,,,0,0,0,0,0,0,0,0,0.39,0.28,,,0,0,0,0,0,0,0.44,0.38,0.39,0.28,Decision - Unanimous,Herb Dean,1,2025-05-31,136,303,118,309,136,303,118,309,0,0,0,0,36,92,24,84,36,92,24,84,0,0,0,0,92,243,92,270,36,48,19,29,8,12,7,10,135,300,117,305,1,3,1,4,0,0,0,0,23,75,16,72,9,11,3,4,4,6,5,8,36,92,24,84,0,0,0,0,0,0,0,0,70.0,155.0,73.0,Orthodox,1995-11-15,5.63,0.45,2.58,0.63,2.11,0.75,0.85,0.0,68.0,155.0,69.0,Orthodox,2000-09-27,10.33,0.5,6.80,0.52,0.00,0.0,0.57,0.0
Rayanne dos Santos,Alice Ardelean,0,0,0.34,0.43,0.16,1.0,0,0,0,1,30,32,0,0,0.51,0.3,0.0,,0,0,0,0,29,16,0.34,0.43,0.51,0.3,Decision - Unanimous,Chris Tognoni,0,2025-05-31,78,225,154,352,79,227,159,359,1,6,1,1,23,45,26,86,24,46,28,89,0,1,0,0,67,210,115,300,6,10,28,39,5,5,11,13,75,217,150,344,3,8,4,7,0,0,0,1,17,39,18,73,2,2,6,10,4,4,2,3,21,42,24,83,2,3,2,3,0,0,0,0,62.0,115.0,62.0,Orthodox,1995-06-08,4.36,0.43,5.20,0.61,0.33,0.12,0.88,0.0,63.0,115.0,62.0,Orthodox,1992-04-19,4.97,0.45,4.97,0.52,1.00,0.4,1.0,0.0
Gilbert Burns,Michael Morales,0,2,0.27,0.58,0.5,,0,0,0,0,30,10,0,2,0.27,0.58,0.5,,0,0,0,0,30,10,0.27,0.58,0.27,0.58,KO/TKO,Herb Dean,0,2025-05-17,5,18,33,56,5,18,35,58,1,2,0,0,5,18,33,56,5,18,35,58,1,2,0,0,4,13,31,52,0,3,0,0,1,2,2,4,5,18,25,44,0,0,2,3,0,0,6,9,4,13,31,52,0,3,0,0,1,2,2,4,5,18,25,44,0,0,2,3,0,0,6,9,70.0,170.0,71.0,Orthodox,1986-07-20,3.15,0.48,3.64,0.52,2.12,0.37,0.53,0.5,72.0,170.0,79.0,Orthodox,1999-06-24,5.62,0.49,3.31,0.53,1.09,0.41,0.89,0.0
